Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.13,1.01,88.24,1.62,0.34,0.27,42.27,86.03,1.68,1.35,2.96,1.48,0.4,2.76,0.2,47.31,0.27,Nicolas Janvier,nicolas-janvier,,Alanyaspor
0.13,0.74,59.46,1.91,0.54,0.37,29.92,74.05,2.88,1.71,2.65,1.81,0.54,4.52,0.7,51.49,2.01,Haris Hajradinović,haris-hajradinovic,,Kasımpaşa
0.13,0.79,51.43,1.41,0.31,0.26,37.85,80.41,1.37,0.35,4.37,2.12,0.66,3.57,2.03,45.85,0.71,Ali Karimi,ali-karimi,,Kayserispor
0.13,1.14,56.52,1.05,0.13,0.53,20.0,73.55,1.8,0.75,0.88,2.06,0.7,4.61,0.92,49.03,1.4,Emre Kılınç,emre-kilinc,,Yılport Samsunspor
0.13,0.76,38.71,1.96,0.51,0.44,44.94,83.53,1.58,0.38,2.59,1.9,1.08,4.3,0.25,45.0,1.84,Fred,fred,,Fenerbahçe
0.13,1.39,55.0,1.64,0.63,0.38,26.97,81.37,1.51,0.63,0.76,2.02,0.76,4.66,0.5,41.0,1.26,Roman Kvet,roman-kvet,,Sivasspor
0.13,0.97,48.94,1.22,0.29,0.21,27.51,75.64,1.13,0.76,2.31,1.47,1.6,3.44,0.71,46.92,1.05,Erdoğan Yeşilyurt,erdogan-yesilyurt,,Antalyaspor
0.13,1.01,32.0,2.14,0.88,0.13,22.28,81.94,1.64,0.38,0.63,0.88,0.0,3.65,0.5,42.31,1.76,Garry Rodrigues,garry-rodrigues,,MKE Ankaragücü
0.12,0.37,37.5,2.09,0.25,0.37,28.36,80.77,1.11,0.74,1.23,2.09,0.49,5.16,0.49,55.42,2.7,Endri Çekiçi,endri-cekici,,Pendikspor
0.12,0.79,36.11,2.36,0.97,0.18,19.5,71.08,0.91,0.3,0.97,2.12,1.03,3.88,2.3,47.0,0.97,Sander van de Streek,sander-van-de-streek,,Antalyaspor
0.12,1.14,43.94,1.73,0.39,0.16,25.05,80.33,0.79,0.04,1.69,1.61,0.35,4.84,0.79,45.69,2.08,Dario Šarić,dario-saric,,Antalyaspor
0.12,1.28,37.29,1.75,0.47,0.23,14.76,71.07,1.57,0.93,0.64,0.64,0.29,3.38,0.41,36.11,1.46,Valon Ethemi,valon-ethemi,,Konyaspor
0.11,0.74,59.09,1.25,0.29,0.11,26.06,79.76,1.03,0.57,1.31,2.0,1.03,3.25,0.68,53.91,0.63,Gökcan Kaya,gokcan-kaya,,Pendikspor
0.11,0.89,57.14,1.22,0.33,0.11,38.52,77.68,1.66,0.44,2.32,1.66,0.77,3.54,1.44,35.71,1.0,Eduart Rroca,eduart-rroca,,İstanbulspor
0.11,0.93,51.52,1.37,0.38,0.05,29.56,84.72,0.44,0.22,2.14,1.92,1.48,4.95,1.1,56.12,2.14,Ogün Özçiçek,ogun-ozcicek,,Gaziantep FK
0.11,0.32,66.67,0.76,0.16,0.0,37.86,79.73,0.49,0.0,3.68,1.84,1.73,3.19,2.54,56.99,1.08,Chandrel Massanga,chandrel-massanga,,Hatayspor
0.11,0.26,50.0,0.74,0.42,0.05,53.61,86.46,0.79,0.0,2.85,1.06,0.63,1.69,3.8,65.41,0.42,Steven​ N'Zonzi,steven-nzonzi,,Konyaspor
0.1,1.54,50.0,2.67,1.03,0.51,45.41,82.19,2.36,1.95,2.67,1.54,0.41,4.31,0.62,39.02,1.23,Rachid Ghezzal,rachid-ghezzal,,Beşiktaş
0.1,1.16,50.0,1.16,0.39,0.19,23.68,79.8,0.97,0.29,1.06,1.74,0.77,4.64,0.87,40.43,1.74,Emirhan İlkhan,emirhan-ilkhan,,Başakşehir FK
0.1,2.32,51.06,1.55,0.34,0.19,17.78,80.0,0.87,0.29,0.72,2.08,0.87,7.44,0.58,49.85,3.04,Marlos Moreno,marlos-moreno,,Konyaspor
0.09,1.93,47.73,1.29,0.74,0.37,14.8,77.4,2.11,1.29,0.55,1.56,0.37,4.96,0.28,51.82,1.47,Modou Barrow,modou-barrow,,Sivasspor
0.09,2.02,61.97,1.88,0.46,0.09,19.99,73.9,1.38,0.83,1.83,1.65,0.6,5.18,0.09,44.75,1.51,Olimpiu Moruțan,olimpiu-morutan,,MKE Ankaragücü
0.09,1.54,65.38,1.54,0.54,0.27,25.12,78.31,1.72,0.99,0.72,0.54,0.27,3.8,1.08,51.92,1.81,Serdar Gürler,serdar-gurler,,Başakşehir FK
0.09,1.53,71.43,1.27,0.22,0.04,34.5,83.67,1.09,0.31,2.27,3.54,1.53,7.61,0.7,58.1,2.54,Gedson Fernandes,gedson-fernandes,,Beşiktaş
0.08,0.63,65.22,1.93,0.59,0.17,46.89,79.73,1.72,1.34,9.11,1.26,0.59,2.35,0.67,57.14,0.46,Jonjo Shelvey,jonjo-shelvey,,Çaykur Rizespor
0.08,0.5,60.0,1.68,0.34,0.08,27.15,81.2,1.09,0.42,1.17,0.84,0.59,1.93,1.17,41.57,0.59,Danijel Aleksić,danijel-aleksic,,Başakşehir FK
0.08,1.0,51.06,1.34,0.54,0.13,28.93,80.0,1.96,1.8,2.51,1.13,0.46,3.68,0.54,48.56,1.55,Deniz Türüç,deniz-turuc,,Başakşehir FK
0.08,1.13,42.19,1.46,0.29,0.29,27.1,81.53,1.46,0.38,1.17,1.21,0.67,3.17,0.38,42.71,0.84,Alassane Ndao,ndao-alassane,,Konyaspor
0.08,1.24,52.63,1.37,0.58,0.41,32.75,83.69,2.53,1.99,3.27,1.2,0.46,3.65,0.46,43.42,1.24,Alexandru Maxim,alexandru-maxim,,Gaziantep FK
0.08,0.65,40.0,0.81,0.32,0.16,19.42,75.95,1.13,0.57,0.16,1.78,0.65,4.13,1.54,46.05,1.78,Iron Gomis,iron-gomis,,Kasımpaşa
0.08,0.23,54.55,1.88,0.57,0.04,29.12,77.53,0.41,0.04,2.34,1.73,1.73,3.32,2.26,65.49,1.47,Gökhan Gül,gokhan-gul,,Kasımpaşa
0.07,1.08,55.56,1.01,0.29,0.0,25.06,75.82,0.86,0.07,1.66,1.66,0.65,3.46,1.15,44.76,0.79,Taylan Antalyalı,taylan-antalyali,,Yılport Samsunspor
0.07,1.22,48.65,1.63,0.54,0.41,19.29,74.35,1.56,1.02,0.88,1.63,0.41,4.62,0.88,42.86,1.77,Max Gradel,max-gradel,,Gaziantep FK
0.07,1.56,50.0,1.69,0.47,0.2,21.53,78.71,2.1,1.56,1.35,3.45,0.54,6.7,0.68,54.23,1.69,Gustavo Sauer,gustavo-sauer,,Çaykur Rizespor
0.07,1.27,70.37,1.27,0.4,0.13,29.09,80.0,1.47,0.87,3.0,1.07,0.53,3.54,0.93,48.2,1.2,Olivier Kemen,olivier-kemen,,Başakşehir FK
0.07,0.2,37.5,1.32,0.53,0.07,26.81,76.17,0.92,0.26,1.58,1.78,1.19,4.75,1.78,54.7,2.84,Oğulcan Ülgün,ogulcan-ulgun,,Konyaspor
0.07,1.32,66.67,0.99,0.2,0.2,35.92,80.06,1.12,0.39,3.09,2.37,0.72,5.0,0.99,51.41,1.32,Salih Uçan,salih-ucan,,Beşiktaş
0.07,0.72,61.11,1.04,0.26,0.26,48.0,86.07,1.04,0.59,5.22,1.37,1.04,2.94,0.85,45.31,0.85,Görkem Sağlam,gorkem-saglam,,Hatayspor
0.07,0.39,66.67,1.11,0.13,0.0,37.03,81.87,0.39,0.0,3.38,2.28,1.63,3.12,0.98,44.68,0.59,Youssef Aït Bennasser,youssef-ait-bennasser,,Yılport Samsunspor
0.06,0.91,58.33,0.58,0.19,0.0,30.17,75.16,0.65,0.06,3.76,1.75,0.97,3.95,0.97,53.52,1.29,Benjamin Stambouli,benjamin-stambouli,,Adana Demirspor
0.06,0.51,50.0,1.21,0.44,0.06,37.56,85.04,0.51,0.0,2.22,1.91,0.57,3.62,1.72,53.16,1.21,Leroy Fer,leroy-fer,,Alanyaspor
0.06,0.18,50.0,0.88,0.18,0.0,26.88,80.1,0.29,0.06,1.46,1.35,1.52,2.46,1.93,59.52,1.0,Marko Jevtović,marko-jevtovic,,Gaziantep FK
0.06,0.68,60.0,1.03,0.51,0.06,21.57,68.85,0.91,0.06,1.37,2.74,1.2,5.31,0.8,46.93,1.88,Furkan Soyalp,furkan-soyalp,,Gaziantep FK
0.06,0.11,50.0,0.28,0.17,0.0,34.53,83.27,0.39,0.0,1.74,1.9,1.34,2.52,1.18,38.82,0.5,Modestas Vorobjovas,modestas-vorobjovas,,İstanbulspor
0.06,1.11,71.43,1.0,0.28,0.11,26.5,81.82,0.56,0.11,2.56,1.94,1.11,3.56,0.94,45.51,0.5,Ali Kaan Güneren,ali-kaan-guneren,,MKE Ankaragücü
