Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,player.name,player.slug,team.name,team.shortName
3.14,1.71,2.05,22.67,76.67,0.0,0.0,1.5,38.6,0.34,4.37,1.71,6.08,54.94,Júnior Morais,junior-morais,,Gaziantep FK
1.56,1.16,5.03,28.06,78.46,0.0,0.0,2.0,33.33,0.0,2.31,2.47,4.79,59.41,Arda Kızıldağ,arda-kizildag,,Gaziantep FK
1.84,0.87,1.56,37.46,81.66,0.6,26.53,2.44,43.8,0.37,2.99,0.55,3.54,53.85,Florent Hadergjonaj,florent-hadergjonaj,,Alanyaspor
0.98,1.3,3.98,47.25,88.52,0.0,0.0,3.19,52.69,0.2,1.63,2.09,3.71,55.34,Nikola Maksimović,nikola-maksimovic,,Hatayspor
1.29,0.65,1.22,26.62,75.66,2.01,23.73,1.73,36.92,0.22,2.23,2.23,4.46,57.41,Faouzi Ghoulam,faouzi-ghoulam,,Hatayspor
1.23,1.05,3.25,45.32,85.63,0.04,25.0,4.47,55.36,0.61,2.56,1.12,3.68,53.97,Andreaw Gravillon,andreaw-gravillon,Adana Demirspor,
2.1,1.71,3.77,30.23,79.23,0.0,0.0,2.18,36.84,0.16,3.19,1.98,5.17,61.01,Uğurcan Yazğılı,ugurcan-yazgili,Konyaspor,
1.75,1.66,1.41,34.99,80.34,0.58,22.58,1.5,50.0,0.58,3.24,1.16,4.4,50.0,Mert Müldür,mert-muldur,Fenerbahçe,
0.4,0.8,6.24,30.19,82.97,0.0,0.0,3.48,44.85,0.04,0.56,1.56,2.12,50.96,Aaron Appindangoyé,aaron-appindangoye,Sivasspor,
2.61,1.6,1.7,32.97,80.64,0.7,31.82,3.31,52.38,0.5,4.11,0.8,4.91,62.03,Ömer Ali Şahiner,omer-ali-sahiner,Başakşehir FK,
1.57,0.93,3.68,39.22,79.9,0.0,0.0,3.35,41.15,0.17,2.24,2.88,5.12,50.84,Rick Van Drongelen,rick-van-drongelen,Yılport Samsunspor,
1.21,1.05,3.36,48.42,87.13,0.0,0.0,3.31,44.06,0.16,1.95,1.16,3.1,55.14,Ömer Toprak,omer-toprak,Antalyaspor,
1.09,0.57,1.4,36.37,80.81,0.87,23.26,3.49,48.78,1.0,3.31,0.61,3.92,54.88,Léo Dubois,leo-dubois,Başakşehir FK,
1.19,2.35,4.86,30.74,73.26,0.17,33.33,4.01,35.87,0.17,1.67,2.24,3.91,65.34,Papy Djilobodji,papy-djilobodji,Gaziantep FK,
0.97,0.97,4.13,34.96,81.48,0.0,0.0,3.06,43.51,0.27,1.77,2.2,3.97,53.62,Attila Mocsi,attila-mocsi,Çaykur Rizespor,
1.05,1.42,4.77,37.35,82.66,0.14,42.86,2.66,46.03,0.27,1.42,2.43,3.85,56.76,Simon Deli,simon-deli,İstanbulspor,
2.75,0.66,1.77,36.55,83.28,0.46,33.33,3.41,54.74,0.59,4.13,0.52,4.65,52.59,Kamil Ahmet Çörekçi,kamil-ahmet-corekci,Hatayspor,
1.4,1.45,4.05,27.68,75.03,0.0,0.0,3.67,42.7,0.05,1.88,2.51,4.39,60.67,Alim Öztürk,alim-ozturk,Yılport Samsunspor,
2.36,1.01,2.55,30.39,75.21,1.17,23.57,2.61,37.9,0.57,3.78,0.98,4.76,60.89,Nuno Sequeira,nuno-sequeira,Pendikspor,
3.43,1.12,2.59,23.18,73.07,0.14,6.45,1.61,40.35,0.77,5.88,1.96,7.84,66.27,Mehmet Aydın,mehmet-aydin,Trabzonspor,
1.83,1.6,3.1,29.61,77.46,0.67,22.5,2.31,40.0,0.97,3.24,0.78,4.03,54.55,Muhammet Taha Şahin,muhammet-taha-sahin,Çaykur Rizespor,
1.13,0.68,3.86,46.04,87.65,0.0,0.0,3.79,48.75,0.39,2.2,1.69,3.89,59.41,Guy-Marcelin Kilama,guy-marcelin-kilama,Hatayspor,
1.08,1.61,3.71,37.77,79.1,0.0,0.0,3.41,37.01,0.18,2.69,2.33,5.02,60.0,Alpaslan Öztürk,alpaslan-ozturk,Pendikspor,
1.92,1.42,2.12,26.57,81.32,0.44,27.08,1.69,47.17,0.67,3.91,1.28,5.19,56.62,Eren Elmalı,eren-elmali,Trabzonspor,
1.07,0.9,3.83,48.3,86.57,0.0,0.0,2.7,40.5,0.13,2.26,1.47,3.73,58.33,Fidan Aliti,fidan-aliti,Alanyaspor,
1.89,0.45,2.12,37.73,83.7,1.06,20.0,3.48,60.53,0.68,3.03,1.21,4.24,58.33,Erdem Özgenç,erdem-ozgenc,,Pendikspor
2.74,1.01,1.57,30.07,83.17,0.35,18.42,2.18,47.78,1.01,5.22,0.71,5.93,57.64,Stelios Kitsiou,stelios-kitsiou,,MKE Ankaragücü
1.91,0.95,0.81,41.4,85.2,0.95,19.12,4.18,60.64,1.91,4.85,1.47,6.31,53.42,Arthur Masuaku,arthur-masuaku,,Beşiktaş
2.15,2.48,1.4,25.54,76.49,0.41,20.0,1.24,46.88,0.58,3.72,1.07,4.79,53.7,Nazım Sangaré,nazim-sangare,,Fatih Karagümrük
1.61,1.53,2.87,38.07,81.81,0.19,26.32,2.72,45.81,0.34,2.64,1.8,4.44,56.86,Davide Biraschi,davide-biraschi,,Fatih Karagümrük
1.23,1.09,3.66,27.52,88.46,0.0,0.0,1.05,32.22,0.07,1.78,1.45,3.23,66.42,Nicolas N'Koulou,nicolas-nkoulou,,Gaziantep FK
2.27,1.75,3.15,44.51,78.6,0.1,18.18,4.74,43.4,0.21,3.56,1.81,5.36,59.09,Welinton,welinton,,Pendikspor
2.07,0.62,2.14,27.85,78.75,0.94,24.79,1.59,42.24,0.58,3.24,0.32,3.56,51.16,Uğur Çiftçi,ugur-ciftci,,Sivasspor
1.88,0.86,2.7,39.17,80.63,0.25,19.23,1.98,33.05,0.97,3.87,1.53,5.39,55.79,Jayden Oosterwolde,jayden-oosterwolde,,Fenerbahçe
2.23,1.24,2.39,30.39,79.83,0.66,26.67,3.72,52.33,0.25,2.81,0.83,3.63,53.01,Alaaddin Okumuş,alaaddin-okumus,,Sivasspor
1.31,1.17,6.63,30.64,74.92,0.03,20.0,3.25,37.6,0.35,2.31,1.52,3.83,59.36,Mehmet Yeşil,mehmet-yesil,,İstanbulspor
2.26,1.23,2.2,22.86,71.77,0.5,16.49,1.95,36.26,1.16,4.53,1.73,6.26,51.29,Cláudio Winck,claudio-winck,,Kasımpaşa
1.08,1.5,1.78,40.12,81.51,0.19,15.38,3.0,53.33,0.38,2.21,1.5,3.71,55.24,Lionel Carole,lionel-carole,,Kayserispor
1.91,0.86,2.01,24.8,77.08,1.29,23.68,1.63,36.56,0.34,2.78,0.19,2.97,43.97,Casper Højer,casper-hojer,,Çaykur Rizespor
0.98,1.35,3.51,32.0,77.88,0.04,50.0,2.73,39.18,0.29,1.59,2.4,3.99,54.75,Ľubomír Šatka,ubomir-satka,,Yılport Samsunspor
0.58,0.67,4.18,50.14,90.5,0.0,0.0,2.09,62.5,0.17,1.34,1.84,3.18,64.41,Daniel Amartey,daniel-amartey,,Beşiktaş
1.79,1.21,4.97,51.83,86.47,0.05,50.0,3.81,44.13,0.0,2.27,1.69,3.96,55.78,Furkan Bayır,furkan-bayir,,Alanyaspor
1.65,0.82,4.74,52.16,85.47,0.0,0.0,4.85,54.65,0.31,2.27,1.65,3.92,54.29,Fatih Aksoy,fatih-aksoy,,Alanyaspor
1.3,1.14,2.53,46.24,86.24,0.03,25.0,2.53,41.45,0.19,2.15,1.27,3.42,53.47,Nihad Mujakić,nihad-mujakic,,MKE Ankaragücü
0.95,1.16,3.8,39.91,88.94,0.0,0.0,1.74,44.59,0.05,1.64,1.85,3.48,61.68,Rayyan Baniya,rayyan-baniya,,Trabzonspor
